2020-09-07 19:33:56,478 [AUDIT] Token created by 'anonymous': tokenId='ea612a3e-83ed-4778-90d4-cec6b49e7cd7', issuer='jfrou@01ehn0ytye0rqs87drt89segp6', subject='jfrou@01ehn0ytye0rqs87drt89segp6', expiry=none, refreshable=false
2020-09-07 19:34:00,377 [AUDIT] Token created by 'anonymous': tokenId='239d57cf-37ee-473a-bb9c-28230b47385b', issuer='jfac@01ehn0yjyt9dfk00sdp58108q1', subject='jfac@01ehn0yjyt9dfk00sdp58108q1', expiry=1599507360357, refreshable=false
2020-09-07 19:34:00,508 [AUDIT] Token created by 'anonymous': tokenId='e20cbf97-d3a2-4eba-8993-e04503b1a0f3', issuer='jfac@01ehn0yjyt9dfk00sdp58108q1', subject='jfac@01ehn0yjyt9dfk00sdp58108q1', expiry=1599507360505, refreshable=false
2020-09-07 19:34:00,725 [AUDIT] Token created by 'anonymous': tokenId='fbe251b6-3b44-492d-b127-3f7b4bc0f324', issuer='jfac@01ehn0yjyt9dfk00sdp58108q1', subject='jfac@01ehn0yjyt9dfk00sdp58108q1', expiry=1599507360723, refreshable=false
2020-09-07 19:34:01,137 [AUDIT] Token created by 'anonymous': tokenId='f39f3c1d-e38c-4e15-84e7-663cd4975ce0', issuer='jfac@01ehn0yjyt9dfk00sdp58108q1', subject='jfac@01ehn0yjyt9dfk00sdp58108q1', expiry=1599507361135, refreshable=false
2020-09-07 19:34:01,657 [AUDIT] Token created by 'anonymous': tokenId='ee4f2e9b-ba71-41f0-91a5-23e45261a675', issuer='jfmd@01ehn0yvsn2tdvpz2sr48vvaf7', subject='jfmd@01ehn0yvsn2tdvpz2sr48vvaf7', expiry=none, refreshable=false
2020-09-07 19:34:02,287 [AUDIT] Token created by 'anonymous': tokenId='ba525086-5a7b-4f76-b73a-d5b66515d1a9', issuer='jfrt@01ehn0z6haxb661qtdhq5p0g2p', subject='jfrt@01ehn0z6haxb661qtdhq5p0g2p', expiry=none, refreshable=false
2020-09-07 19:34:03,946 [AUDIT] Token created by 'jfrt@01ehn0z6haxb661qtdhq5p0g2p': tokenId='9c986b6d-1d94-49c1-8fab-6f0d8bb67523', issuer='jfrt@01ehn0z6haxb661qtdhq5p0g2p', subject='jfrt@01ehn0z6haxb661qtdhq5p0g2p', expiry=2545587243944, refreshable=false
2020-09-07 19:34:16,696 [AUDIT] Token created by 'anonymous': tokenId='a3c6c9b2-3eff-4f01-94e2-90cb42da3161', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-09-07 19:34:16,770 [AUDIT] Token created by 'jffe@000': tokenId='8fef38e8-b16a-43c5-82de-46f3bd5f6511', issuer='jffe@000', subject='jffe@000', expiry=1599507856769, refreshable=false
2020-09-07 19:34:27,906 [AUDIT] Token created by 'jffe@000': tokenId='b97fa846-7bec-418d-b4de-d9fd0a4ed4cc', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1599507867906, refreshable=false
2020-09-07 19:34:27,923 [AUDIT] Token created by 'jffe@000': tokenId='7c846518-127c-430c-8a2d-beed2ef1dc9f', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1599507867922, refreshable=false
2020-09-07 19:34:27,970 [AUDIT] Token created by 'jffe@000': tokenId='2a3e82c4-2264-4617-9ac3-7c8ecc008315', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1599507867969, refreshable=false
2020-09-07 19:34:27,971 [AUDIT] Token created by 'jffe@000': tokenId='4f399b1e-a739-4e96-b996-7a6b0f69625a', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1599507867970, refreshable=false
2020-09-07 19:34:36,719 [AUDIT] Token created by 'jffe@000': tokenId='3131b09e-76e9-4c7c-a0ec-0f31ba31e5df', issuer='jffe@000', subject='admin', expiry=1599509076716, refreshable=true
